id,Exited
165034,0.017
165035,1.0
165036,0.052
165037,0.249
165038,0.409
165039,0.038
165040,0.074
165041,0.081
165042,0.513
165043,0.027
165044,0.131
165045,0.069
165046,0.014
165047,0.216
165048,1.0
165049,0.056
165050,0.03
165051,0.23
165052,0.053
165053,0.092
165054,0.035
165055,0.063
165056,0.286
165057,0.033
165058,0.379
165059,0.127
165060,1.0
165061,0.69
165062,0.161
165063,0.256
165064,0.037
165065,0.053
165066,0.174
165067,0.08
165068,0.06
165069,0.031
165070,1.0
165071,0.053
165072,0.093
165073,1.0
165074,0.508
165075,0.177
165076,0.134
165077,0.037
165078,0.213
165079,0.083
165080,0.028
165081,0.019
165082,0.019
165083,0.574
165084,0.085
165085,0.026
165086,0.041
165087,0.49
165088,0.067
165089,0.064
165090,0.109
165091,0.049
165092,0.046
165093,0.076
165094,0.042
165095,0.114
165096,0.278
165097,0.096
165098,0.052
165099,0.024
165100,1.0
165101,0.033
165102,0.05
165103,0.05
165104,0.18
165105,0.6
165106,0.392
165107,0.116
165108,0.036
165109,0.223
165110,0.069
165111,0.065
165112,0.07
165113,0.057
165114,0.051
165115,0.039
165116,0.442
165117,0.07
165118,0.359
165119,0.081
165120,0.097
165121,0.164
165122,0.167
165123,0.075
165124,0.124
165125,0.042
165126,0.03
165127,0.05
165128,0.052
165129,0.043
165130,1.0
165131,0.025
165132,0.195
165133,0.12
165134,0.04
165135,0.067
165136,0.024
165137,0.419
165138,0.62
165139,0.631
165140,0.104
165141,0.051
165142,0.027
165143,0.114
165144,0.145
165145,0.384
165146,0.102
165147,0.074
165148,0.149
165149,0.046
165150,0.038
165151,1.0
165152,1.0
165153,0.069
165154,0.058
165155,0.052
165156,0.039
165157,0.048
165158,0.539
165159,0.076
165160,0.037
165161,0.056
165162,1.0
165163,0.041
165164,0.042
165165,0.086
165166,1.0
165167,0.051
165168,0.076
165169,0.086
165170,0.067
165171,0.107
165172,0.515
165173,0.092
165174,0.048
165175,0.082
165176,0.06
165177,0.064
165178,0.651
165179,0.606
165180,0.036
165181,1.0
165182,0.096
165183,0.032
165184,0.075
165185,0.055
165186,0.025
165187,1.0
165188,1.0
165189,0.039
165190,0.023
165191,0.13
165192,0.145
165193,0.153
165194,0.193
165195,0.134
165196,0.21
165197,1.0
165198,0.587
165199,0.062
165200,0.183
165201,0.629
165202,1.0
165203,1.0
165204,1.0
165205,0.062
165206,0.085
165207,0.082
165208,0.052
165209,0.223
165210,0.302
165211,1.0
165212,0.031
165213,0.029
165214,1.0
165215,0.483
165216,0.076
165217,0.028
165218,0.037
165219,1.0
165220,0.178
165221,0.072
165222,0.132
